user_id	score	date	review	is_month	is_repurch
hanj*****	2	21.11.24.	옷은 이쁜데 팔 통이 너무 넓고 목부분이 밑으로 내려와서  두 팔이 빠져요	False	False
jomi****	5	21.11.12.	입히니 너무 귀엽네요  그린만 남아있어서 그린 했는데 좋아요	False	False
nama*****	4	21.02.22.	처음 주문했는데 아주 맘에 듭니다	False	False
ehrl******	5	20.12.16.	예쁘게 잘 맞네요 귀여워요	True	False
ehrl******	5	20.10.27.	아주 좋아요 배 부분엔 고무줄도 있어서 펄럭거리지 않네요	False	False
wldn******	5	20.03.18.	스판성이 좋아요  예전에 샀을 땐 더 얇고 스판 재질이었는데 이번엔 면 티 느낌으로 도톰하네요 개인적으론 예전 재질이 더 좋지만 봄가을에 입히기엔 좋네요	False	False
wldn******	5	20.03.18.	더 도톰해져서 털이 길거나 여름엔 더울 거 같아요 예전 재질은 더 안 만드시는 건가요	False	False
bany*****	5	20.02.08.	빠른 배송 감사합니다 	False	False
jmhi***	5	19.11.05.	바느질도 꼼꼼하고 입혀놓으면 따뜻할 것 같아요	False	False
jmhi***	5	19.11.05.	추워지면 패딩조끼 안에 입히면 따뜻하고 예쁠 것 같아요	False	False
skat***	5	19.11.12.	너무 이뻐요 쭉쭉 늘어나 신축성 좋고 이뻐요	False	False
come****	5	18.08.22.	드디어 요 티는 깔 별러 다 샀네요 진짜 자기가 차애 하는 티입니다노탸쟈자터자텨어네야	False	False
come****	5	18.08.22.	이뻐요 	False	False
dhto******	5	18.06.13.	바뀐 건가 년 전인가 이 옷을 주문해서 매일 입힐 정도로 엄청 잘 입혔어요 막 입혀도 좋았고 막 세탁기에 넣어 돌려도 좋았는데 최근에 옆구리가 펑크 나는 바람에 다시 주문했는데 옷이 많이 바뀐 느낌이네요(오른쪽) 더 좋아진 것 같기도 하규 재질도 더 두툼해진 것 같아서 좋긴 한데 제품 상세페이지에 바뀌었단 말도 안 쓰여있어서 받았을 때 잘못 왔는지 알고 당황스러웠어요  암튼 이번 거도 잘 입히겠지요 굳이에요	False	False
come****	5	18.08.22.	이것도 말해 뭐해요 깔 별러 완성위자아덷제	False	False
dhto******	5	18.06.13.	좋아요 킬로 말티 사이즈 샀어요 잘 맞아요 사이즈 샀으면 많이 컸을 것 같아요 옷도 도톰해져서 좋은 것 같아요	False	False
dhto******	5	18.06.13.	좋아요 근데 등 부분이 많이 떠요	False	False
dhto******	5	18.06.13.	좋아요 귀여워요	False	False
jb****	5	18.02.28.	천도 부드럽고 생각보다 색감이 좋아서 만족합니다	False	False
wngm*******	5	18.02.09.	 주문한 색이 품절이래서 어쩔 수 없이 그린 색 했는데 괜찮아요 피숑 개월 킬로 엑스라지  딱 맞음	False	False
kiro****	5	18.01.19.	좋아요 쫀쫀하고  좋아요 하나만 입어도 귀엽고 겨울 점퍼 안에 레이어드로 입히면 보온도 되고 스타일도 좋아져서 만족합니다	False	False
kiro****	4	18.01.19.	좋아요 쫀쫀하고  좋아요 하나만 입어도 귀엽고 겨울 점퍼 안에 레이어드로 입히면 보온도 되고 스타일도 좋아져서 만족합니다	False	False
hh****	5	18.01.16.	이것만 맨 낭 입혀요 색색깔 별로 다 살 예정입니다 잘 늘어나서 아기가 답답해하지 않고 세탁기 돌려도 안 망가짐	False	False
kiro****	5	18.01.19.	쫀쫀하고 좋아요	False	False
wngm*******	5	18.02.09.	좋아 유이 좋아	False	False
loun***	5	17.11.28.	아직안입혀봣 아직 안 입혀봤어 뇨 사이즈 사이즈 미스로 교환하느라 좀 시간 걸이고 출장 중이라 빨리 입혀보고 시네요	False	False
0106*******	4	17.12.05.	귀여워요 이너로 입히려고 샀는데 귀여워요  검정 강아지한테 검정 줄무늬는  아니었나 봐요 색상 미스  졸라맨 같아요  	False	False
ha_n*****	5	17.11.09.	맘에 들어요 푸들이 팔다리가 길어서 목폴라도 완전 잘 어울려요 멜빵바지랑 같이 입히면 더 이쁠 거 같네요 앞으로도 이쁜 옷 많이 올려주세요	False	False
0106*******	3	17.12.05.	사이즈가 애매하지만 졸라맨 같고 귀여워요 	False	False
ha_n*****	5	17.11.09.	배송 빠르고 사이즈도 잘 맞아요	False	False
loun***	5	17.11.28.	앉안 입혀봄	False	False
didr******	4	17.09.05.	맘에 드니 생각보다 스판기가 있어 편해 보이고 킬로 스몰 사주가 딱 잘 어울려요 작년엔 미디엄 시켰는데 커서 팔이 자꾸 빠져서 접혀 입혔거든요 저기 핑크 멜빵은 사은품으로 챙겨 받은 건데 조래 입혀보니 잘 어울리더라고요	False	False
mnll*****	4	17.09.12.	추천합니다 가격은 살짝 비싼 감 있다고 느꼈는데 뭐 다른 옷에 비해 질 좋으리라 믿어요 금빛 푸들 요키인데 빨간색 너무 귀엽게 잘 어울려요 다만 팔 부분 계속 물어뜯으려고 해서 담엔 나시로 사줘야 할 듯	False	False
mnll*****	5	17.09.12.	너무 귀엽게 잘 어울려요	False	False
dud9***	5	17.09.27.	이뻐요 좋아요	False	False
didr******	5	17.09.05.	스판기 있고 이쁘네요	False	False
wldn******	5	17.07.11.	짱짱 얇고 짧지 않아서 하나만 단독 입혀도 이뻐요  색은 고민했는데 그린 선택하길 잘했네요 잘 어울려요 	False	False
wldn******	5	17.07.11.	부들부들해요 살짝 크게 나온 듯	False	False
love****	5	17.04.26.	잘 받았어요 울 강아지 이 옷만 색깔별로 개 구매해서 입네요 이쁘고 천도 좋아요 다른 옷들도 이 집 옷이 젤 이뻐요	False	False
yoon******	5	17.02.27.	너무 귀여워요 진짜 귀여워요 눈물 주륵 스트라이프는 많은데 목티는 처음인데 목티 하나로 느낌이 다르네요 너무 잘 어울리고 귀여워요 푸들   딱 맞아요 털 길면 좀 낄 거 같긴 한데 지금은 미용하고 딱 맞게 입히니까 이뻐요 털 길면 큰 사이즈 사려고요	False	False
love****	5	17.04.26.	잘 받았어요	False	False
lail******	5	17.04.24.	만족합니다	False	False
naya******	5	17.04.08.	깔 별러 다 사야겠어요 넘나 이뿝니다	False	False
jung*****	5	17.03.26.	감이 부드럽고 좋아요 두 번째 구입	False	False
yung***	5	17.03.04.	너무 이뻐요 울 아기가 킬로라 정말 끼이긴 한데  원단 정말 최고고 줄무늬가 강쥐도 세련되게 만들어줄 수 있구나 싶네요  이쁜 옷 항상 감사해요	False	False
agne***	5	17.03.23.	잘 받았어요	False	False
agne***	3	17.03.23.	잘 받았어요	False	False
rlaa********	5	17.02.28.	 청바지에  입히려고 구매했어요 생각한 대로  너무 귀엽네 요원 단도 좋고  반폴라라 더  귀여워요	False	False
happ********	5	17.02.28.	너무 귀여워요 예전에 산  사이즈가 좀 큰듯하여으로 하나 더 구입했는데 너무 귀여워요 좀 타이트하게 입히는 게 이쁘긴 더 이쁘네요	False	False
smsj****	5	17.02.27.	딱 맞아야 예쁜 옷 같아요 저희 시츄 목둘레  가슴둘레  등길이  몸무게인데 완전 딱 맞게 입히고 싶어서  주문했어요  등길이가 짧지만 감안할 만큼 옠뻐요	False	False
0163******	5	17.02.26.	배송 좋아요 하이패스 같은 존재야 오늘 하루 마무리 잘하시고 내일 또 보자 무한도전 폐지 줍는 할머니 할아버지 할머니	False	False
yoon******	5	17.02.27.	진짜 귀여워요 스트라이프 목티는 처음인데 너무 이뻐요	False	False
yeon*****	4	17.02.03.	괜찮네요  배송도 빠르게 오고 가격은 뭐 나쁘지 않은 정도인 거 같아요   사이즈 했는데 생각보다 잘 맞긴 한데 엉덩이 부분만 좀 더 길었으면 좋겠네요 강아지가 맨날 긁어대서 엉덩이 부분은 피가  	False	False
yung***	5	17.03.04.	정말 귀엽네요	False	False
jang******	5	17.02.11.	쫀쫀하면서 쬐이지 않는 것 같아요 회색 후드티 안에 입히려고 샀어요 배 아래 부문 고무줄 처리되어 있어서 남자인데 오줌 쌀 때 안 묻을 것 같고요 제목처럼 쫀쫀한데 쬐이지는 않는 것 같아요	False	False
love********	3	17.02.07.	티는 보통 티는 가격에 비해 그냥저냥 보통이에요 귀엽긴 해요 이뻐요 딱 맞고 잘 입힐게요 배송도 좋고 좋네요 굿	False	False
smsj****	5	17.02.27.	쫄티 같고 귀여워요	False	False
wlsg********	5	17.02.02.	 좋아요 좋아요  귀여워요 목폴라 티 귀엽네요 다음에 또 구매하도록 하겠습니다 감사합니다	False	False
yeon*****	4	17.02.03.	괜찮네요  나름 만족하고 있긴 한데 다음에는 한 치수 더 큰 거로 사서 팔 길이는 좀 잘라내던 지하고 엉덩이를 좀 길게 입혀야겠어요  강아지가 늙어서 자꾸 긁어서 엉덩이 보호가 필요해요 	False	False
rlaa********	5	17.02.28.	아주 좋아요	False	False
hj****	4	17.01.29.	저렴하다 저렴하고 사이즈 정 사이대로 가면 되고 마감이 참 잘 되어있어요 스판끼듀 있어서 움직일 때 불편함 없이 움직일 수 있습니다 예뻐요 앞으로도 많이 살 것 같아요 좋은 상품 많이 만들어 주세요	False	False
pjsu****	5	17.01.11.	이뻐요 몸이 길어서 맞는 옷이 없었는데 길이 딱 맞고 너무 이쁘네요 색도 이쁘고 보들보들해서 좋아요	False	False
0163******	5	17.02.26.	하이패스 같은 	False	False
happ********	5	17.02.28.	예뻐요	False	False
wjdt*******	5	17.02.03.	너무 친절히 연락 주셔서 사이즈   맞혀주시고  감사합니다  잘 입힐게요 좋은 옷 많이 올려주셔요	False	False
sea6***	5	17.02.12.	폴라 아는 거  찿고았었는대  아쁘내요  딱  목까지 오규 단품으로도  아빠용 단가라  활용도  좋아요	False	False
0_****	5	17.01.09.	귀여워요 신축성 좋아서 보통은  사이즈 입는데 사이즈 딱 맞게 예뻐요 댕댕이랑 너무 잘 어울려요 	False	False
wlsg********	5	17.02.02.	좋아요 귀 위 월요  아기 옷 너무 귀엽네요 사람 옷 같아서 더 귀여우넉같아용  심사합니다 다음에 도 이용할게요	False	False
dbs3****	5	17.02.13.	원단이 좋네요	False	False
nka0***	5	17.01.24.	스판기 있고 너무 이뻐요  바느질도 꼼꼼하뀨맘에 듭니다 번창하세요	False	False
seri******	5	16.12.28.	이뻐요 어떤 강아지든 소화할 수 있을 티인 거 같네요 저희 집 강아지 웬만한 옷들은 다 촌스러운데 이 옷은 이쁘게 잘 어울려요  엄마도 맘에 들어 해서 기분이 좋네요 	False	False
jenn*****	5	17.01.03.	 너무 귀여워요 너무 귀여워요 쫀쫀하니 스판기도 있어서 편해 보이네요 색깔별로 구매하고 싶어지는 옷이네요	False	False
sea6***	5	17.02.11.	줄자  필요했는데  귀엽네요	False	False
hnlo******	5	17.02.10.	사이즈 잘 맞지요	False	False
gkdi******	5	17.02.06.	이뻐요 귀염귀염	False	False
hj****	5	17.01.29.	목티 마감 깔끔하고 정 사이즈대로 주문하면 맞음	False	False
0119*******	5	17.01.29.	스트라이프 티 너무 이뻐요	False	False
yeon*****	3	17.02.03.	나쁘지 않아요 	False	False
aqua***	5	17.02.05.	이뻐요 	False	False
az****	5	17.01.26.	그린 블루 둘 다 이뻐요	False	False
az****	5	17.01.26.	그린 블루 둘 다 이뻐요 	False	False
92****	5	16.12.17.	이뻐요 정 사이즈로 시켰는데 예쁘게 잘 맞고 스판 역도 좋아서 편할 거 같습니다 라지는  스 몰은 킬로 아기 입혔는데 딱이네요	False	False
love****	5	17.01.08.	잘 받았어요 검은색 구입해서 파랑 조끼랑 잘 입다가 요번에 빨강 티랑 조기 샀어요 재질이 너무 좋고 이뻐요 잘 입을게요	False	False
wlsg********	5	17.02.02.	좋아요 	False	False
yeon*****	3	17.02.03.	괜찮아요 	False	False
cori***	5	17.01.21.	배송 빠르고 강쥐 몸에 잘 맞네요	False	False
wlsg********	5	17.02.02.	좋아요 	False	False
92****	5	16.12.17.	좋아요 코디하기 좋을 거 같아서 구매했습니다 스판기도 있어서 아기들이 편하게 활동할 수 있을 거 같네요	False	False
llhk***	3	17.01.23.	만족합니다	False	False
wj****	5	17.01.17.	이쁩니다 킬로 푸들이고 사이즈 입다가 작아 선으로 다시 구매	False	False
ro****	5	17.01.16.	청바지가 길어서 짧은 걸로 샀어야 했는데	False	False
y7****	5	17.01.17.	스판 잇고 소재 좋아요	False	False
jang******	5	17.02.11.	좋아요 굿굿	False	False
aram****	5	16.12.01.	좋아요 생각한 그대로라 좋아요 사이즈 잘못 살 뻔했는데 문자로 상담도 해주시고 친절하고 가지 옷 샀는데 하나도 실패 없이 다 마음에 들어요	False	False
xsos*****	5	16.11.23.	좋아요 번창하세요 평들대로 스판기 좋다고 딱 붙게 입힐 거면 스몰 하라고 해서 스몰루 했더니 정말 잘 선택한 것 같아요 어쩜 이렇게 이쁘나요 이 옷은 여기저기 코디하기 정말 좋은 거 같아요 게다가 목티이니깐 보기에도 따셔 보이고 아 너무 좋아요 	False	False
love********	5	17.02.07.	기여와 용	False	False
soyu*****	5	16.12.20.	멋있네요 꼭 낀 옷을 입혀놓으면 벗으려고 난리를 치는데 약간 넉넉한 게 벗으려고 하질 않네요 예뻐요	False	False
sara********	5	16.12.31.	구매 망설이다 주문했어요 대박 너무 이뻐요	False	False
happ*******	5	16.12.08.	너무너무 이쁨 맘에 쏙 들어요 두꺼우면 아이들 겨드랑이나 배 쪽이 답답해해서 얇고 저렴하고 이쁜 거 찾았네요 맘에 쏙 패딩이랑 같이 입혔더니 더더 이쁨 패딩 치수 여유 있게 하세	False	False
pjsu****	5	17.01.11.	귀여워요	False	False
love****	5	17.01.08.	잘 받았어요	False	False
sara********	5	16.12.31.	블랙 재고 없어 그린 구매했는데 너무 이쁘네요	False	False
yjhj*****	5	17.01.23.	이뻐요 이뻐요	False	False
0_****	5	17.01.09.	예뻐요	False	False
jenn*****	5	17.01.03.	좋아요 정말	False	False
skal***	5	16.12.14.	스피츠 남아인데 사이즈 딱 맞아요  털도 자르고 마른 편이라 딱 맞네요  털 있었으면  품이 작았을 거 같아요	False	False
0119*******	5	16.11.22.	레이어드하기 좋음 쫀쫀해서 아기들 편하고 패딩에 레이어드하기 좋아요 내복처럼 입히고 있다며 귀엽고 깔 별러 사고 싶음	False	False
skal***	5	16.12.14.	큰 포미인데 털이 빵빵해서 그런지 꽉 껴요  사이즈는 크고요 털 자르면 맞을 거 같긴 해요 	False	False
yyj1***	5	17.01.14.	좋아요 좋아요 	False	False
leeh*****	5	16.12.29.	잘 받았어요 	False	False
qkrt********	5	16.11.08.	너무 귀여워서 산책이 즐거워졌어요  옷이 너무 귀여워서 산책 가는 게 즐거울 지경이에요  겨울이라 위에 무스탕 입혀서 나가는데 사람들이 아주 좋아해요	False	False
roll******	5	16.12.20.	얇지만 패딩 안에 입히는 거라 좋아요	False	False
love****	5	17.01.22.	 	False	False
bamb*****	5	16.11.08.	넘기여워요 너무 귀여워요 킬로 엠 샀는데 넉넉히 잘 맞고 바지랑 같이 입히려고 샀는데 이것만 입혀도 귀여워요 바지랑 같이 입히면 패셔너블 해지 네오 	False	False
glgl****	5	16.11.09.	짱 진짜 너무 귀엽습니다 사이즈도 추천해 주신 하니까 딱이네요 목 부분이 올라와 있어서 훨씬 따뜻할 거 같아요	False	False
92****	5	16.12.17.	예쁘게 잘 맞아요	False	False
gpgp****	5	16.12.13.	이뻐요인데 좀 크게 나왔어요	False	False
92****	5	16.12.17.	만족합니다	False	False
0119*******	5	16.11.22.	블랙에 이어 쫀쫀하고 좋습니다 좋아요 산책길에 입혀 나가면 신축성도 좋고 불편감 없이 잘 움직여요 귀여움 빨강도 사고 싶어요	False	False
shel***	5	16.12.14.	색상이 깨끗한 느낌이에요	False	False
glgl****	5	16.11.09.	추천 블루랑 같이  샀는데 딱입니다 소재도 좋고 따뜻할 거 같습니다 담에 또 구매할게요 	False	False
u_****	5	16.12.01.	질도 좋아 보이고 신축성도 좋아 아이가 편하겠어요	False	False
jy****	5	16.10.28.	블랙  진짜 귀엽네요 목까지 올라와서 다들 가을옷입었냐고해욯 우리 강아지 가을 옷장만 해서 우주 다른 색상도 사고파요	False	False
js****	5	16.12.08.	대만족 좋아요	False	False
sej5***	5	16.11.14.	빠삐용  옷 집에서 편하게 입는 내복 같은 옷으로 귀엽고 예쁘네요 울 아들은 빠삐용 입는 옷과 비슷하다고 하는 더 너무 귀여워요	False	False
u_****	5	16.12.01.	질도 좋아 보이고 신축성도 대박이네요	False	False
yeon*****	5	16.12.04.	말티 킬로  하니 맞네요 사실 분들 참고하세요  이뻐 오	False	False
kn****	5	16.10.22.	 줄무늬 티 너무 이뻐요 원단도 좋은 편이고 잘 입을 거 같아요 신축성도 좋아요 킬로 포미인데 라지 사이즈 잘 맞았어요 	False	False
love****	5	16.11.06.	잘 받았어요 너무 편하고 예뻐요 단골 할 거 같아요 가격도 싸고 입혀놓으니 완전 폼 놔요 잘 입힐게요 감사합니다	False	False
yyj1***	5	16.12.23.	좋아요 좋은 상품 구매해서 좋아요 	False	False
gksk****	5	16.10.16.	정말 귀여워요  사이즈 딱 맞고 이뻐요 같이 산청 치마에 입혀도 이쁘고 티 하나만 입혀놔도 이쁘네요 배송도 빠르고 맘에 듭니다	False	False
yyj1***	5	16.12.22.	좋아요 좋은 상품 구매해서 좋아요 	False	False
viol****	4	16.10.26.	스프라이트 목티 스프라이트 목티 이뻐요 생각했던 거랑 똑같아요 바지랑 같이 입혀놓으니 너무 예뻐요 감사합니다	False	False
wktk*******	5	16.11.10.	사이즈도 잘 맞고 너무 귀엽네요 나중에 또 옷 구매할 일 있으면 미니 피니에서 구매할게요 옷 종류가 다양하면 더 좋을 것 같아요	False	False
js****	5	16.12.08.	좋아요	False	False
aram****	5	16.12.01.	짱짱하고 귀여워요	False	False
poot*****	5	16.11.16.	얇지만 너무 이쁘네요 배송도 빠르고 좋아요	False	False
u_****	5	16.12.01.	신축성 최고예요	False	False
abar****	5	16.11.20.	예뻐요 울 강쥐 너무 이쁘고 베리굿 색상 사이즈  스타일 가섭 짱짱  잘 입힐게요 잘 벗으려 하지도 않고 있자요	False	False
nas4***	5	16.10.24.	앙증맞네요 너무 귀여워요 그 식구들도 이거 입은 거 보고 빵 터짐  사진 찍는데 가만히 안 있어서 애먹었어요 	False	False
vmfk*****	5	16.11.22.	스트라이프 목티 이뻐요	False	False
jdsa***	5	16.11.03.	너무너무 예쁩니다 심각하게 예뻐요 폴라 아서 입혀놨을 때 너무 깜찍하고 보온도 되니 너무 좋네요 좋은 제품 감사합니다	False	False
abar****	5	16.11.28.	베너 굿 이요	False	False
miho*****	5	16.11.18.	면스판기도 있고 이쁩니다 좀 얇네요	False	False
cosh***	5	16.10.30.	아주 멋져요 미니 피니네 옷들 원단 퀄리티 매우 좋네요 원단도 부드럽고 짱짱합니다 또 다른 칼라 주문할리고요	False	False
gorj********	5	16.11.14.	배송은 주말 빼고 빠르게 왔고요 이쁩니다 감사해요	False	False
sero****	5	16.10.06.	둘이 같은 색 입혔어요  티만 입혀도 깔끔하고 너무 이쁘네요  대만족입니다  잘 어울리고 촉감도 좋아요 바지랑 같이 입으면 더 이쁠 거 같아요 	False	False
verr******	5	16.10.22.	이뻐요  사이즈 미스여서 교환했는데 친절하게 택배비도 한 번만 내고  감사합니다 감동이에요 너무 이뻐요 옷 재질도 좋고	False	False
yuna******	5	16.11.21.	너무 귀여워요	False	False
gori*******	5	16.11.14.	배송도 빠르고 옷도 예쁘고 너무 좋네요	False	False
kiss*******	5	16.11.14.	너무 예뻐요  잘 입겠습니다 	False	False
xsos*****	5	16.11.23.	넘넘이쀼댱	False	False
777h********	5	16.11.14.	미니 피니 옷 정말 최고네요 	False	False
sero****	5	16.10.06.	사이즈도 색도 좋아요 키우는 아이들이 블랙 브라운이라 옷 입힐 때 색상 고르기 애맷안데 이 옷 입혀놓으니 너무 깜찍하고 이뻐요 	False	False
sej5***	5	16.11.14.	조금 비싼 감은 있어도 역시 좋더군요	False	False
abar****	5	16.11.20.	굿 베립굿	False	False
leeh*****	5	16.11.19.	잘 받았어요 	False	False
zmzm****	5	16.11.15.	너무 좋아요	False	False
aaaa*****	5	16.10.26.	쫀디기 옷이 작아 보였는데 막상 입으니 쫀쫀 잘 늘어나고 목이기엽네요허허하래아누타애자트트이이뻐요우어아우푸할	False	False
bamb*****	5	16.11.08.	키로인데 엠이 딱 적당하고 이 더요 	False	False
mir0****	5	16.11.10.	색감이 이뻐요	False	False
ccam*****	5	16.11.12.	저렴히 잘 구매했어요	False	False
jhj2***	5	16.10.27.	넘넘 앙증맞고 질도 좋아요 겨울용으로 기모 들어간 것도 나오면 좋을 것 같아오	False	False
irt2***	5	16.10.22.	너무 귀여워서 심쿵 너무 귀여워요 특히 흰 강아지들한테 잘 어울릴 거 같아요 길에서 사람들이 보고 귀엽다고 소리 질렀어요	False	False
ssum******	5	16.11.09.	적극 추천합니다 	False	False
hell******	5	16.11.10.	신축성이 좋아요	False	False
jh75****	5	16.10.25.	예쁜데 생각보다 너무 얇아요 다른 옷 보다 사이즈가 넉넉해요	False	False
glgl****	5	16.11.09.	너무 귀여워요	False	False
come****	5	16.10.18.	먼저 까만 줄무늬로 샀는데 너무 편하게 이쁘게 잘 맞아서 파란 줄무늬로 재 주문했어요 아주 맘에 드는 티입니다 청바지랑 입으면 간지 좔좔	False	False
rose****	5	16.10.30.	스판기도 넘좋구요사이쥬도 딱이네요	False	False
qswl***	5	16.10.13.	사이즈 선택하기가 아리송해서 전체 미디엄으로 했었는데 전화까지 주시고 사이즈도 알아서 조정해 주셨어요 강아지 옷은 첨이 라울 집 막내 사랑에 빠져서  천도 부드럽고 좋아요	False	False
jazz*******	5	16.10.30.	예뻐요 레이어드하면 최고	False	False
suda****	5	16.10.21.	요크셔인데 잘 맞아요 블랙도 같이 샀은데 그린이 더 이쁜 거 같아요	False	False
ryou****	3	16.11.06.	마음에 드네요	False	False
glgl****	5	16.11.09.	너무 이쁩니다	False	False
qkrt********	5	16.11.08.	정말 예뻐요	False	False
sero****	5	16.11.11.	이뻐요	False	False
love****	5	16.11.06.	잘 받았어요	False	False
suda****	5	16.10.21.	킬로 요크셔인데 딱 맞아요 남편이 약간 죄수 같다는데 저는 만족합니다	False	False
0119*******	5	16.10.31.	겁나이쁘고 겁나 튼튼해 보임 쫀쫀 원하는 핏이 아기들 편안해 한	False	False
irt2***	5	16.10.22.	흰색 푸들인데 너무 잘 어울리네요  청바지랑 같이 입히면 너무 이쁠 듯	False	False
sata*****	5	16.11.22.	좋아요 좋아요	False	False
sata*****	5	16.11.22.	예뻐요 예뻐요	False	False
0119*******	5	16.10.31.	이쁨 쫀쫀 요새 유행하는 쫄티에 패딩 입히기	False	False
radr***	5	16.09.20.	사이즈예요  정도 푸들 잘 어울리고 신축성이 좋아 편해 보여요 우리 강 지도 보자마자 입고 싶은지 얼굴을 들 이 댐 아주 잘 어울려서 좋아요	False	False
dior****	5	16.10.28.	사이즈도 잘 맞고 너무너무 이쁘네요	False	False
jdsa***	5	16.11.03.	예뻐요 정망	False	False
hihi********	5	16.10.31.	소재도 좋고 이쁘네요	False	False
nas4***	3	16.10.24.	너무 귀엽고 앙증맞네요 판매자님께서 직접 전화로 사이즈 상담도 해주시고흥하십쑈	False	False
mini*****	5	16.10.08.	둘째가 생겨서 첫째랑 똑같은 걸로 구매했는데 작은 아이라 적응이 안 되는지 꾸벅꾸벅 조네요 그래도 너무 이쁘고 귀여워요	False	False
wjsw***	5	16.10.03.	색깔별로 구입 스판기가 있어서 딱 맞게 입히시려면 한 치수 작게 하시는 게 이쁠 거 같아요  가격도 저렴하고 너무 좋습니다 강력 추천	False	False
suda****	5	16.10.21.	요크셔인데 잘 맞아요 길이감도 좋습니다 색도 잘빠졌어요	False	False
cosh***	5	16.10.30.	잘 받아 입혛네요	False	False
eunb***	5	16.11.15.	좋아요 좋아요	False	False
rose****	5	16.10.30.	너무 이뻐요	False	False
hyer*****	3	16.10.30.	귀여워요 	False	False
rt****	5	16.09.03.	제일 맘에 드는 옷 미니 피니에서 옷 여러 벌 구매했는데 가장 마음에 드는 옷 중 하나에요 뭘 같이 입히는 멋스럽게 잘 어울려요 아기자기한 강아지 옷보다 사람 옷같이 심플한 옷 원하시는 견주분들께 적극 추천드려요	False	False
leeh*****	5	16.10.28.	잘 받았어요 	False	False
neoc******	5	16.10.01.	예뻐요 조끼랑 입히려고 코디 컷대로 구입했어요 보통  입는데 넉넉히 입히려고  주문했는데 크게 나왔다고 전화 주셔서로 받았어요 조끼랑 같이 입히니 너무 예뻐요	False	False
aaaa*****	5	16.10.26.	쫀디기옷이네	False	False
pej2****	5	16.10.26.	귀엽네요	False	False
verr******	5	16.10.22.	너모 이뻐요 	False	False
kn****	5	16.10.22.	넘나 이 부요 진짜 	False	False
viol****	5	16.10.26.	이뻐요	False	False
kore*****	3	16.10.22.	사이즈 미스	False	False
bbui*****	5	16.09.07.	 사 이즈고요 신축성도 좋고 얇고 부드러운 면이라 편하게 자주 입힐 것 같네요 맘에 들어요	False	False
gksk****	5	16.10.16.	이뻐요 	False	False
